country,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,driving,transit,walking
Austria,2020-10-30,-23,-5,-24,-34,-31,8,3.62,0,-11.23
Austria,2020-10-31,-24,-10,11,-28,-10,3,-11.17,0,-9.3
Austria,2020-11-01,-39,-26,-9,-32,-16,3,-22.67,0,-41.74
Austria,2020-11-02,-17,-14,7,-31,-31,7,2.14,0,-1.08
Austria,2020-11-03,-50,-16,-12,-43,-30,11,-22.6,0,-41.15
Austria,2020-11-04,-47,-12,-25,-39,-28,11,-20.69,0,-38.3
Austria,2020-11-05,-45,-10,-19,-37,-28,11,-19.43,0,-34.01
Austria,2020-11-06,-46,-8,-7,-38,-28,11,-20.65,0,-34.78
Austria,2020-11-07,-46,-12,13,-42,-24,9,-29.84,0,-38.68
Austria,2020-11-08,-67,-36,9,-45,-32,7,-29.56,0,-46.23
Austria,2020-11-09,-40,-14,-18,-37,-28,10,-20.27,0,-35.76
Austria,2020-11-10,-41,-11,-12,-36,-28,11,-19.82,0,-34.08
Austria,2020-11-11,-43,-12,-15,-36,-29,11,-19.73,0,-33.08
Austria,2020-11-12,-44,-11,-21,-37,-29,11,-20.86,0,-33.43
Austria,2020-11-13,-42,-6,-18,-38,-29,12,-20.64,0,-35.56
Austria,2020-11-14,-38,-7,-4,-42,-24,8,-30.17,0,-40.23
Austria,2020-11-15,-68,-38,-1,-45,-30,7,-30.49,0,-46.59
Austria,2020-11-16,-19,-2,-24,-33,-27,8,-16.21,0,-30.48
Austria,2020-11-17,-69,-27,-11,-51,-40,16,-37.82,0,-47.44
Austria,2020-11-18,-67,-21,5,-49,-40,15,-34.7,0,-43.6
Austria,2020-11-19,-69,-21,-34,-53,-41,17,-35.7,0,-48.21
Austria,2020-11-20,-70,-18,-35,-54,-41,18,-38.91,0,-50.45
Austria,2020-11-21,-73,-21,-4,-56,-36,13,-46.92,0,-52.72
Austria,2020-11-22,-73,-45,6,-52,-37,9,-41.21,0,-51.91
Austria,2020-11-23,-64,-21,-28,-51,-39,15,-34.35,0,-46.77
Austria,2020-11-24,-65,-19,-13,-50,-39,15,-32.1,0,-44.91
Austria,2020-11-25,-66,-18,-23,-51,-39,16,-32.72,0,-45.86
Austria,2020-11-26,-67,-18,-30,-51,-39,16,-33.25,0,-47.19
Austria,2020-11-27,-67,-13,-31,-53,-39,17,-34.61,0,-47.37
Austria,2020-11-28,-71,-17,-22,-56,-34,13,-44.89,0,-54.32
Austria,2020-11-29,-73,-44,-5,-51,-35,9,-41.7,0,-56.4
Austria,2020-11-30,-60,-15,-16,-47,-37,13,-30.5,0,-43.06
Austria,2020-12-01,-62,-12,-21,-48,-37,14,-30.63,0,-43.64
Austria,2020-12-02,-64,-14,-29,-49,-37,15,-28.85,0,-42.78
Austria,2020-12-03,-65,-15,-29,-46,-38,16,-30.95,0,-42.75
Austria,2020-12-04,-64,-7,-35,-49,-37,16,-30.95,0,-44.42
Austria,2020-12-05,-68,-12,-22,-51,-31,12,-41.12,0,-48.89
Austria,2020-12-06,-73,-44,-26,-51,-33,9,-39.51,0,-54.22
Austria,2020-12-07,-25,5,-16,-40,-43,12,-24.78,0,-33.09
Austria,2020-12-08,-50,-48,-8,-60,-79,24,-26.94,0,-41.3
Austria,2020-12-09,-38,-2,-28,-34,-26,10,-15.61,0,-30.4
Austria,2020-12-10,-40,-5,-37,-35,-26,11,-15.98,0,-32.72
Austria,2020-12-11,-40,-1,-28,-35,-25,10,-17.46,0,-28.39
Austria,2020-12-12,-39,-3,-22,-37,-21,8,-29.12,0,-36.96
Austria,2020-12-13,-68,-36,-17,-44,-30,8,-33.05,0,-50.12
Austria,2020-12-14,-31,-5,-15,-33,-25,8,-15.47,0,-28.44
Austria,2020-12-15,-34,-2,-16,-33,-26,9,-14,0,-30.14
Austria,2020-12-16,-35,0,-19,-32,-25,9,-10.85,0,-27.75
Austria,2020-12-17,-37,0,-23,-31,-25,10,-11.15,0,-25.92
Austria,2020-12-18,-38,1,-23,-30,-25,10,-5.66,0,-25.67
Austria,2020-12-19,-38,-1,-23,-33,-21,8,-21.54,0,-38.03
Austria,2020-12-20,-70,-37,-17,-45,-31,8,-31.9,0,-53.37
Austria,2020-12-21,-19,10,-16,-33,-30,9,-11.71,0,-27.27
Austria,2020-12-22,-24,18,-20,-34,-32,10,-10.3,0,-27
Austria,2020-12-23,-23,35,-11,-34,-39,10,-18.25,0,-32.8
Austria,2020-12-24,-63,-24,-41,-60,-76,20,-55.84,0,-68.68
Austria,2020-12-25,-90,-92,-45,-73,-86,24,-50.62,0,-71.31
Austria,2020-12-26,-86,-90,-17,-63,-56,14,-44.18,0,-64.71
Austria,2020-12-27,-73,-39,-7,-53,-37,8,-36.76,0,-59.52
Austria,2020-12-28,-66,-13,-27,-62,-64,21,-32.35,0,-53.8
